Soviet Union (URS)	43	29	31	103
 United States (USA)	34	21	16	71
 Italy (ITA)	13	10	13	36
 United Team of Germany (EUA)	12	19	11	42
 Australia (AUS)	8	8	6	22
 Turkey (TUR)	7	2	0	9
 Hungary (HUN)	6	8	7	21
 Japan (JPN)	4	7	7	18
 Poland (POL)	4	6	11	21
 Czechoslovakia (TCH)	3	2	3	8
 Romania (ROU)	3	1	6	10
 Great Britain (GBR)	2	6	12	20
 Denmark (DEN)	2	3	1	6
 New Zealand (NZL)	2	0	1	3
 Bulgaria (BUL)	1	3	3	7
 Sweden (SWE)	1	2	3	6
 Finland (FIN)	1	1	3	5
 Austria (AUT)	1	1	0	2
 Yugoslavia (YUG)	1	1	0	2
 Pakistan (PAK)	1	0	1	2
 Ethiopia (ETH)	1	0	0	1
 Greece (GRE)	1	0	0	1
 Norway (NOR)	1	0	0	1
 Switzerland (SUI)	0	3	3	6
 France (FRA)	0	2	3	5
 Belgium (BEL)	0	2	2	4
 Iran (IRI)	0	1	3	4
 Netherlands (NED)	0	1	2	3
 South Africa (RSA)	0	1	2	3
 Argentina (ARG)	0	1	1	2
 United Arab Republic (EGY)	0	1	1	2
 Canada (CAN)	0	1	0	1
 Republic of China (ROC)	0	1	0	1
 Ghana (GHA)	0	1	0	1
 India (IND)	0	1	0	1
 Morocco (MAR)	0	1	0	1
 Portugal (POR)	0	1	0	1
 Singapore (SIN)	0	1	0	1
 Brazil (BRA)	0	0	2	2
 British West Indies (BWI)	0	0	2	2
 Iraq (IRQ)	0	0	1	1
 Mexico (MEX)	0	0	1	1
 Spain (ESP)	0	0	1	1
 Venezuela (VEN)	0	0	1	1
