Russia (RUS)	11	8	4	23
 Norway (NOR)*	10	11	5	26
 Germany (GER)	9	7	8	24
 Italy (ITA)	7	5	8	20
 United States (USA)	6	5	2	13
 South Korea (KOR)	4	1	1	6
 Canada (CAN)	3	6	4	13
 Switzerland (SUI)	3	4	2	9
 Austria (AUT)	2	3	4	9
 Sweden (SWE)	2	1	0	3
 Japan (JPN)	1	2	2	5
 Kazakhstan (KAZ)	1	2	0	3
 Ukraine (UKR)	1	0	1	2
 Uzbekistan (UZB)	1	0	0	1
 Belarus (BLR)	0	2	0	2
 Finland (FIN)	0	1	5	6
 France (FRA)	0	1	4	5
 Netherlands (NED)	0	1	3	4
 China (CHN)	0	1	2	3
 Slovenia (SLO)	0	0	3	3
 Great Britain (GBR)	0	0	2	2
 Australia (AUS)	0	0	1	1
