"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","2"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","2"
"Silver","1900","0"
"Bronze","1900","3"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","0"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","0"
"Gold","1920","0"
"Silver","1920","2"
"Bronze","1920","1"
"Gold","1924","3"
"Silver","1924","1"
"Bronze","1924","2"
"Gold","1928","1"
"Silver","1928","2"
"Bronze","1928","1"
"Gold","1932","3"
"Silver","1932","1"
"Bronze","1932","1"
"Gold","1936","0"
"Silver","1936","0"
"Bronze","1936","1"
"Gold","1948","2"
"Silver","1948","6"
"Bronze","1948","5"
"Gold","1952","6"
"Silver","1952","2"
"Bronze","1952","3"
"Gold","1956","13"
"Silver","1956","8"
"Bronze","1956","14"
"Gold","1960","8"
"Silver","1960","8"
"Bronze","1960","6"
"Gold","1964","6"
"Silver","1964","2"
"Bronze","1964","10"
"Gold","1968","5"
"Silver","1968","7"
"Bronze","1968","5"
"Gold","1972","8"
"Silver","1972","7"
"Bronze","1972","2"
"Gold","1976","0"
"Silver","1976","1"
"Bronze","1976","4"
"Gold","1980","2"
"Silver","1980","2"
"Bronze","1980","5"
"Gold","1984","4"
"Silver","1984","8"
"Bronze","1984","12"
"Gold","1988","3"
"Silver","1988","6"
"Bronze","1988","5"
"Gold","1992","7"
"Silver","1992","9"
"Bronze","1992","11"
"Gold","1996","9"
"Silver","1996","9"
"Bronze","1996","23"
"Gold","2000","16"
"Silver","2000","25"
"Bronze","2000","17"
"Gold","2004","17"
"Silver","2004","16"
"Bronze","2004","17"
"Gold","2008","14"
"Silver","2008","15"
"Bronze","2008","17"
"Gold","2012","8"
"Silver","2012","15"
"Bronze","2012","12"
"Gold","2016","8"
"Silver","2016","11"
"Bronze","2016","10"
