"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","2"
"Silver","1896","1"
"Bronze","1896","2"
"Gold","1900","0"
"Silver","1900","3"
"Bronze","1900","3"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","1"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","1"
"Gold","1912","0"
"Silver","1912","2"
"Bronze","1912","2"
"Gold","1920","0"
"Silver","1920","0"
"Bronze","1920","0"
"Gold","1924","0"
"Silver","1924","3"
"Bronze","1924","1"
"Gold","1928","2"
"Silver","1928","0"
"Bronze","1928","1"
"Gold","1932","1"
"Silver","1932","1"
"Bronze","1932","3"
"Gold","1936","4"
"Silver","1936","6"
"Bronze","1936","3"
"Gold","1948","1"
"Silver","1948","0"
"Bronze","1948","3"
"Gold","1952","0"
"Silver","1952","1"
"Bronze","1952","1"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","2"
"Gold","1960","1"
"Silver","1960","1"
"Bronze","1960","0"
"Gold","1964","0"
"Silver","1964","0"
"Bronze","1964","0"
"Gold","1968","0"
"Silver","1968","2"
"Bronze","1968","2"
"Gold","1972","0"
"Silver","1972","1"
"Bronze","1972","2"
"Gold","1976","0"
"Silver","1976","0"
"Bronze","1976","1"
"Gold","1980","1"
"Silver","1980","2"
"Bronze","1980","1"
"Gold","1984","1"
"Silver","1984","1"
"Bronze","1984","1"
"Gold","1988","1"
"Silver","1988","0"
"Bronze","1988","0"
"Gold","1992","0"
"Silver","1992","2"
"Bronze","1992","0"
"Gold","1996","0"
"Silver","1996","1"
"Bronze","1996","2"
"Gold","2000","2"
"Silver","2000","1"
"Bronze","2000","0"
"Gold","2004","2"
"Silver","2004","4"
"Bronze","2004","1"
"Gold","2008","0"
"Silver","2008","1"
"Bronze","2008","2"
"Gold","2012","0"
"Silver","2012","0"
"Bronze","2012","0"
"Gold","2016","0"
"Silver","2016","0"
"Bronze","2016","1"
