"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","1"
"Silver","1900","0"
"Bronze","1900","1"
"Gold","1904","4"
"Silver","1904","1"
"Bronze","1904","1"
"Gold","1908","3"
"Silver","1908","3"
"Bronze","1908","10"
"Gold","1912","3"
"Silver","1912","2"
"Bronze","1912","3"
"Gold","1920","3"
"Silver","1920","3"
"Bronze","1920","3"
"Gold","1924","0"
"Silver","1924","3"
"Bronze","1924","1"
"Gold","1928","4"
"Silver","1928","4"
"Bronze","1928","7"
"Gold","1932","2"
"Silver","1932","5"
"Bronze","1932","8"
"Gold","1936","1"
"Silver","1936","3"
"Bronze","1936","5"
"Gold","1948","0"
"Silver","1948","1"
"Bronze","1948","2"
"Gold","1952","1"
"Silver","1952","2"
"Bronze","1952","0"
"Gold","1956","2"
"Silver","1956","1"
"Bronze","1956","3"
"Gold","1960","0"
"Silver","1960","1"
"Bronze","1960","0"
"Gold","1964","1"
"Silver","1964","2"
"Bronze","1964","1"
"Gold","1968","1"
"Silver","1968","3"
"Bronze","1968","1"
"Gold","1972","0"
"Silver","1972","2"
"Bronze","1972","3"
"Gold","1976","0"
"Silver","1976","5"
"Bronze","1976","6"
"Gold","1980","0"
"Silver","1980","0"
"Bronze","1980","0"
"Gold","1984","10"
"Silver","1984","18"
"Bronze","1984","16"
"Gold","1988","3"
"Silver","1988","2"
"Bronze","1988","5"
"Gold","1992","7"
"Silver","1992","4"
"Bronze","1992","7"
"Gold","1996","3"
"Silver","1996","11"
"Bronze","1996","8"
"Gold","2000","3"
"Silver","2000","3"
"Bronze","2000","8"
"Gold","2004","3"
"Silver","2004","6"
"Bronze","2004","3"
"Gold","2008","3"
"Silver","2008","9"
"Bronze","2008","8"
"Gold","2012","2"
"Silver","2012","5"
"Bronze","2012","11"
"Gold","2016","4"
"Silver","2016","3"
"Bronze","2016","15"
