"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","1"
"Silver","1896","2"
"Bronze","1896","0"
"Gold","1900","6"
"Silver","1900","2"
"Bronze","1900","1"
"Gold","1904","1"
"Silver","1904","0"
"Bronze","1904","1"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","0"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","0"
"Gold","1920","2"
"Silver","1920","2"
"Bronze","1920","7"
"Gold","1924","7"
"Silver","1924","8"
"Bronze","1924","10"
"Gold","1928","7"
"Silver","1928","4"
"Bronze","1928","4"
"Gold","1932","0"
"Silver","1932","1"
"Bronze","1932","0"
"Gold","1936","1"
"Silver","1936","9"
"Bronze","1936","5"
"Gold","1948","5"
"Silver","1948","10"
"Bronze","1948","5"
"Gold","1952","2"
"Silver","1952","6"
"Bronze","1952","6"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","1"
"Gold","1960","0"
"Silver","1960","3"
"Bronze","1960","3"
"Gold","1964","1"
"Silver","1964","2"
"Bronze","1964","1"
"Gold","1968","0"
"Silver","1968","1"
"Bronze","1968","4"
"Gold","1972","0"
"Silver","1972","3"
"Bronze","1972","0"
"Gold","1976","1"
"Silver","1976","1"
"Bronze","1976","2"
"Gold","1980","2"
"Silver","1980","0"
"Bronze","1980","0"
"Gold","1984","0"
"Silver","1984","4"
"Bronze","1984","4"
"Gold","1988","0"
"Silver","1988","2"
"Bronze","1988","2"
"Gold","1992","1"
"Silver","1992","0"
"Bronze","1992","0"
"Gold","1996","4"
"Silver","1996","3"
"Bronze","1996","0"
"Gold","2000","1"
"Silver","2000","6"
"Bronze","2000","2"
"Gold","2004","1"
"Silver","2004","1"
"Bronze","2004","3"
"Gold","2008","2"
"Silver","2008","1"
"Bronze","2008","4"
"Gold","2012","2"
"Silver","2012","2"
"Bronze","2012","0"
"Gold","2016","3"
"Silver","2016","2"
"Bronze","2016","2"
