"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","6"
"Silver","1896","5"
"Bronze","1896","2"
"Gold","1900","4"
"Silver","1900","2"
"Bronze","1900","2"
"Gold","1904","4"
"Silver","1904","4"
"Bronze","1904","5"
"Gold","1908","3"
"Silver","1908","5"
"Bronze","1908","5"
"Gold","1912","5"
"Silver","1912","13"
"Bronze","1912","7"
"Gold","1920","0"
"Silver","1920","0"
"Bronze","1920","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1928","10"
"Silver","1928","7"
"Bronze","1928","14"
"Gold","1932","3"
"Silver","1932","12"
"Bronze","1932","5"
"Gold","1936","33"
"Silver","1936","26"
"Bronze","1936","30"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","0"
"Gold","1952","0"
"Silver","1952","7"
"Bronze","1952","17"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","0"
"Gold","1960","0"
"Silver","1960","0"
"Bronze","1960","0"
"Gold","1964","0"
"Silver","1964","0"
"Bronze","1964","0"
"Gold","1968","0"
"Silver","1968","0"
"Bronze","1968","0"
"Gold","1972","0"
"Silver","1972","0"
"Bronze","1972","0"
"Gold","1976","0"
"Silver","1976","0"
"Bronze","1976","0"
"Gold","1980","0"
"Silver","1980","0"
"Bronze","1980","0"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","0"
"Gold","1988","0"
"Silver","1988","0"
"Bronze","1988","0"
"Gold","1992","33"
"Silver","1992","21"
"Bronze","1992","28"
"Gold","1996","20"
"Silver","1996","18"
"Bronze","1996","27"
"Gold","2000","13"
"Silver","2000","17"
"Bronze","2000","26"
"Gold","2004","13"
"Silver","2004","16"
"Bronze","2004","20"
"Gold","2008","16"
"Silver","2008","11"
"Bronze","2008","14"
"Gold","2012","11"
"Silver","2012","20"
"Bronze","2012","13"
"Gold","2016","17"
"Silver","2016","10"
"Bronze","2016","15"
