"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","1"
"Silver","1896","2"
"Bronze","1896","3"
"Gold","1900","1"
"Silver","1900","3"
"Bronze","1900","2"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","0"
"Silver","1908","2"
"Bronze","1908","3"
"Gold","1912","1"
"Silver","1912","6"
"Bronze","1912","5"
"Gold","1920","3"
"Silver","1920","9"
"Bronze","1920","1"
"Gold","1924","2"
"Silver","1924","5"
"Bronze","1924","2"
"Gold","1928","3"
"Silver","1928","1"
"Bronze","1928","2"
"Gold","1932","0"
"Silver","1932","3"
"Bronze","1932","3"
"Gold","1936","0"
"Silver","1936","2"
"Bronze","1936","3"
"Gold","1948","5"
"Silver","1948","7"
"Bronze","1948","8"
"Gold","1952","2"
"Silver","1952","1"
"Bronze","1952","3"
"Gold","1956","1"
"Silver","1956","2"
"Bronze","1956","1"
"Gold","1960","2"
"Silver","1960","3"
"Bronze","1960","1"
"Gold","1964","2"
"Silver","1964","1"
"Bronze","1964","3"
"Gold","1968","1"
"Silver","1968","4"
"Bronze","1968","3"
"Gold","1972","1"
"Silver","1972","0"
"Bronze","1972","0"
"Gold","1976","1"
"Silver","1976","0"
"Bronze","1976","2"
"Gold","1980","2"
"Silver","1980","1"
"Bronze","1980","2"
"Gold","1984","0"
"Silver","1984","3"
"Bronze","1984","3"
"Gold","1988","2"
"Silver","1988","1"
"Bronze","1988","1"
"Gold","1992","1"
"Silver","1992","1"
"Bronze","1992","4"
"Gold","1996","4"
"Silver","1996","1"
"Bronze","1996","1"
"Gold","2000","2"
"Silver","2000","3"
"Bronze","2000","1"
"Gold","2004","2"
"Silver","2004","1"
"Bronze","2004","5"
"Gold","2008","2"
"Silver","2008","2"
"Bronze","2008","3"
"Gold","2012","2"
"Silver","2012","4"
"Bronze","2012","3"
"Gold","2016","2"
"Silver","2016","6"
"Bronze","2016","7"
