"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","0"
"Silver","1900","0"
"Bronze","1900","0"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","1"
"Silver","1908","1"
"Bronze","1908","3"
"Gold","1912","9"
"Silver","1912","8"
"Bronze","1912","9"
"Gold","1920","15"
"Silver","1920","10"
"Bronze","1920","9"
"Gold","1924","14"
"Silver","1924","13"
"Bronze","1924","10"
"Gold","1928","8"
"Silver","1928","8"
"Bronze","1928","9"
"Gold","1932","5"
"Silver","1932","8"
"Bronze","1932","12"
"Gold","1936","7"
"Silver","1936","6"
"Bronze","1936","6"
"Gold","1948","8"
"Silver","1948","7"
"Bronze","1948","5"
"Gold","1952","6"
"Silver","1952","3"
"Bronze","1952","13"
"Gold","1956","3"
"Silver","1956","1"
"Bronze","1956","11"
"Gold","1960","1"
"Silver","1960","1"
"Bronze","1960","3"
"Gold","1964","3"
"Silver","1964","0"
"Bronze","1964","2"
"Gold","1968","1"
"Silver","1968","2"
"Bronze","1968","1"
"Gold","1972","3"
"Silver","1972","1"
"Bronze","1972","4"
"Gold","1976","4"
"Silver","1976","2"
"Bronze","1976","0"
"Gold","1980","3"
"Silver","1980","1"
"Bronze","1980","4"
"Gold","1984","4"
"Silver","1984","2"
"Bronze","1984","6"
"Gold","1988","1"
"Silver","1988","1"
"Bronze","1988","2"
"Gold","1992","1"
"Silver","1992","2"
"Bronze","1992","2"
"Gold","1996","1"
"Silver","1996","2"
"Bronze","1996","1"
"Gold","2000","2"
"Silver","2000","1"
"Bronze","2000","1"
"Gold","2004","0"
"Silver","2004","2"
"Bronze","2004","0"
"Gold","2008","1"
"Silver","2008","1"
"Bronze","2008","2"
"Gold","2012","0"
"Silver","2012","2"
"Bronze","2012","1"
"Gold","2016","0"
"Silver","2016","0"
"Bronze","2016","1"
