"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","5"
"Silver","1896","4"
"Bronze","1896","2"
"Gold","1900","26"
"Silver","1900","41"
"Bronze","1900","34"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","5"
"Silver","1908","5"
"Bronze","1908","9"
"Gold","1912","7"
"Silver","1912","4"
"Bronze","1912","3"
"Gold","1920","9"
"Silver","1920","19"
"Bronze","1920","13"
"Gold","1924","13"
"Silver","1924","15"
"Bronze","1924","10"
"Gold","1928","6"
"Silver","1928","10"
"Bronze","1928","5"
"Gold","1932","10"
"Silver","1932","5"
"Bronze","1932","4"
"Gold","1936","7"
"Silver","1936","6"
"Bronze","1936","6"
"Gold","1948","10"
"Silver","1948","6"
"Bronze","1948","13"
"Gold","1952","6"
"Silver","1952","6"
"Bronze","1952","6"
"Gold","1956","4"
"Silver","1956","4"
"Bronze","1956","6"
"Gold","1960","0"
"Silver","1960","2"
"Bronze","1960","3"
"Gold","1964","1"
"Silver","1964","8"
"Bronze","1964","6"
"Gold","1968","7"
"Silver","1968","3"
"Bronze","1968","5"
"Gold","1972","2"
"Silver","1972","4"
"Bronze","1972","7"
"Gold","1976","2"
"Silver","1976","3"
"Bronze","1976","4"
"Gold","1980","6"
"Silver","1980","5"
"Bronze","1980","3"
"Gold","1984","5"
"Silver","1984","7"
"Bronze","1984","16"
"Gold","1988","6"
"Silver","1988","4"
"Bronze","1988","6"
"Gold","1992","8"
"Silver","1992","5"
"Bronze","1992","16"
"Gold","1996","15"
"Silver","1996","7"
"Bronze","1996","15"
"Gold","2000","13"
"Silver","2000","14"
"Bronze","2000","11"
"Gold","2004","11"
"Silver","2004","9"
"Bronze","2004","13"
"Gold","2008","7"
"Silver","2008","16"
"Bronze","2008","20"
"Gold","2012","11"
"Silver","2012","11"
"Bronze","2012","13"
"Gold","2016","10"
"Silver","2016","18"
"Bronze","2016","14"
