"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","2"
"Silver","1896","3"
"Bronze","1896","2"
"Gold","1900","15"
"Silver","1900","6"
"Bronze","1900","9"
"Gold","1904","1"
"Silver","1904","1"
"Bronze","1904","0"
"Gold","1908","56"
"Silver","1908","51"
"Bronze","1908","39"
"Gold","1912","10"
"Silver","1912","15"
"Bronze","1912","16"
"Gold","1920","15"
"Silver","1920","15"
"Bronze","1920","13"
"Gold","1924","9"
"Silver","1924","13"
"Bronze","1924","12"
"Gold","1928","3"
"Silver","1928","10"
"Bronze","1928","7"
"Gold","1932","4"
"Silver","1932","7"
"Bronze","1932","5"
"Gold","1936","4"
"Silver","1936","7"
"Bronze","1936","3"
"Gold","1948","3"
"Silver","1948","14"
"Bronze","1948","6"
"Gold","1952","1"
"Silver","1952","2"
"Bronze","1952","8"
"Gold","1956","6"
"Silver","1956","7"
"Bronze","1956","11"
"Gold","1960","2"
"Silver","1960","6"
"Bronze","1960","12"
"Gold","1964","4"
"Silver","1964","12"
"Bronze","1964","2"
"Gold","1968","5"
"Silver","1968","5"
"Bronze","1968","3"
"Gold","1972","4"
"Silver","1972","5"
"Bronze","1972","9"
"Gold","1976","3"
"Silver","1976","5"
"Bronze","1976","5"
"Gold","1980","5"
"Silver","1980","7"
"Bronze","1980","9"
"Gold","1984","5"
"Silver","1984","11"
"Bronze","1984","21"
"Gold","1988","5"
"Silver","1988","10"
"Bronze","1988","9"
"Gold","1992","5"
"Silver","1992","3"
"Bronze","1992","12"
"Gold","1996","1"
"Silver","1996","8"
"Bronze","1996","6"
"Gold","2000","11"
"Silver","2000","10"
"Bronze","2000","7"
"Gold","2004","9"
"Silver","2004","9"
"Bronze","2004","12"
"Gold","2008","19"
"Silver","2008","13"
"Bronze","2008","17"
"Gold","2012","29"
"Silver","2012","17"
"Bronze","2012","19"
"Gold","2016","27"
"Silver","2016","23"
"Bronze","2016","17"
