"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","2"
"Silver","1896","1"
"Bronze","1896","3"
"Gold","1900","1"
"Silver","1900","2"
"Bronze","1900","2"
"Gold","1904","2"
"Silver","1904","1"
"Bronze","1904","1"
"Gold","1908","3"
"Silver","1908","4"
"Bronze","1908","2"
"Gold","1912","3"
"Silver","1912","2"
"Bronze","1912","3"
"Gold","1920","0"
"Silver","1920","0"
"Bronze","1920","0"
"Gold","1924","2"
"Silver","1924","3"
"Bronze","1924","4"
"Gold","1928","4"
"Silver","1928","5"
"Bronze","1928","0"
"Gold","1932","6"
"Silver","1932","4"
"Bronze","1932","5"
"Gold","1936","10"
"Silver","1936","1"
"Bronze","1936","5"
"Gold","1948","10"
"Silver","1948","5"
"Bronze","1948","12"
"Gold","1952","16"
"Silver","1952","10"
"Bronze","1952","16"
"Gold","1956","9"
"Silver","1956","10"
"Bronze","1956","7"
"Gold","1960","6"
"Silver","1960","8"
"Bronze","1960","7"
"Gold","1964","10"
"Silver","1964","7"
"Bronze","1964","5"
"Gold","1968","10"
"Silver","1968","10"
"Bronze","1968","12"
"Gold","1972","6"
"Silver","1972","13"
"Bronze","1972","16"
"Gold","1976","4"
"Silver","1976","5"
"Bronze","1976","13"
"Gold","1980","7"
"Silver","1980","10"
"Bronze","1980","15"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","0"
"Gold","1988","11"
"Silver","1988","6"
"Bronze","1988","6"
"Gold","1992","11"
"Silver","1992","12"
"Bronze","1992","7"
"Gold","1996","7"
"Silver","1996","4"
"Bronze","1996","10"
"Gold","2000","8"
"Silver","2000","6"
"Bronze","2000","3"
"Gold","2004","8"
"Silver","2004","6"
"Bronze","2004","3"
"Gold","2008","3"
"Silver","2008","5"
"Bronze","2008","2"
"Gold","2012","8"
"Silver","2012","4"
"Bronze","2012","6"
"Gold","2016","8"
"Silver","2016","3"
"Bronze","2016","4"
