"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","2"
"Silver","1900","2"
"Bronze","1900","0"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","2"
"Silver","1908","2"
"Bronze","1908","0"
"Gold","1912","3"
"Silver","1912","1"
"Bronze","1912","2"
"Gold","1920","13"
"Silver","1920","5"
"Bronze","1920","5"
"Gold","1924","8"
"Silver","1924","3"
"Bronze","1924","5"
"Gold","1928","7"
"Silver","1928","5"
"Bronze","1928","7"
"Gold","1932","12"
"Silver","1932","12"
"Bronze","1932","12"
"Gold","1936","8"
"Silver","1936","9"
"Bronze","1936","5"
"Gold","1948","8"
"Silver","1948","11"
"Bronze","1948","8"
"Gold","1952","8"
"Silver","1952","9"
"Bronze","1952","4"
"Gold","1956","8"
"Silver","1956","8"
"Bronze","1956","9"
"Gold","1960","13"
"Silver","1960","10"
"Bronze","1960","13"
"Gold","1964","10"
"Silver","1964","10"
"Bronze","1964","7"
"Gold","1968","3"
"Silver","1968","4"
"Bronze","1968","9"
"Gold","1972","5"
"Silver","1972","3"
"Bronze","1972","10"
"Gold","1976","2"
"Silver","1976","7"
"Bronze","1976","4"
"Gold","1980","8"
"Silver","1980","3"
"Bronze","1980","4"
"Gold","1984","14"
"Silver","1984","6"
"Bronze","1984","12"
"Gold","1988","6"
"Silver","1988","4"
"Bronze","1988","4"
"Gold","1992","6"
"Silver","1992","5"
"Bronze","1992","8"
"Gold","1996","13"
"Silver","1996","10"
"Bronze","1996","12"
"Gold","2000","13"
"Silver","2000","8"
"Bronze","2000","13"
"Gold","2004","10"
"Silver","2004","11"
"Bronze","2004","11"
"Gold","2008","8"
"Silver","2008","9"
"Bronze","2008","10"
"Gold","2012","8"
"Silver","2012","9"
"Bronze","2012","11"
"Gold","2016","8"
"Silver","2016","12"
"Bronze","2016","8"
