"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","0"
"Silver","1900","0"
"Bronze","1900","0"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","0"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","0"
"Gold","1920","0"
"Silver","1920","2"
"Bronze","1920","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","1"
"Gold","1928","2"
"Silver","1928","2"
"Bronze","1928","1"
"Gold","1932","7"
"Silver","1932","7"
"Bronze","1932","4"
"Gold","1936","6"
"Silver","1936","4"
"Bronze","1936","8"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","0"
"Gold","1952","1"
"Silver","1952","6"
"Bronze","1952","2"
"Gold","1956","4"
"Silver","1956","10"
"Bronze","1956","5"
"Gold","1960","4"
"Silver","1960","7"
"Bronze","1960","7"
"Gold","1964","16"
"Silver","1964","5"
"Bronze","1964","8"
"Gold","1968","11"
"Silver","1968","7"
"Bronze","1968","7"
"Gold","1972","13"
"Silver","1972","8"
"Bronze","1972","8"
"Gold","1976","9"
"Silver","1976","6"
"Bronze","1976","10"
"Gold","1980","0"
"Silver","1980","0"
"Bronze","1980","0"
"Gold","1984","10"
"Silver","1984","8"
"Bronze","1984","14"
"Gold","1988","4"
"Silver","1988","3"
"Bronze","1988","7"
"Gold","1992","3"
"Silver","1992","8"
"Bronze","1992","11"
"Gold","1996","3"
"Silver","1996","6"
"Bronze","1996","5"
"Gold","2000","5"
"Silver","2000","8"
"Bronze","2000","5"
"Gold","2004","16"
"Silver","2004","9"
"Bronze","2004","12"
"Gold","2008","9"
"Silver","2008","7"
"Bronze","2008","9"
"Gold","2012","7"
"Silver","2012","14"
"Bronze","2012","17"
"Gold","2016","12"
"Silver","2016","8"
"Bronze","2016","21"
