"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","0"
"Silver","1900","1"
"Bronze","1900","3"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","2"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","3"
"Gold","1920","4"
"Silver","1920","2"
"Bronze","1920","5"
"Gold","1924","4"
"Silver","1924","1"
"Bronze","1924","5"
"Gold","1928","6"
"Silver","1928","9"
"Bronze","1928","4"
"Gold","1932","2"
"Silver","1932","5"
"Bronze","1932","0"
"Gold","1936","6"
"Silver","1936","4"
"Bronze","1936","7"
"Gold","1948","5"
"Silver","1948","2"
"Bronze","1948","9"
"Gold","1952","0"
"Silver","1952","5"
"Bronze","1952","0"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","0"
"Gold","1960","0"
"Silver","1960","1"
"Bronze","1960","2"
"Gold","1964","2"
"Silver","1964","4"
"Bronze","1964","4"
"Gold","1968","3"
"Silver","1968","3"
"Bronze","1968","1"
"Gold","1972","3"
"Silver","1972","1"
"Bronze","1972","1"
"Gold","1976","0"
"Silver","1976","2"
"Bronze","1976","3"
"Gold","1980","0"
"Silver","1980","1"
"Bronze","1980","2"
"Gold","1984","5"
"Silver","1984","2"
"Bronze","1984","6"
"Gold","1988","2"
"Silver","1988","2"
"Bronze","1988","5"
"Gold","1992","2"
"Silver","1992","6"
"Bronze","1992","7"
"Gold","1996","4"
"Silver","1996","5"
"Bronze","1996","10"
"Gold","2000","12"
"Silver","2000","9"
"Bronze","2000","4"
"Gold","2004","4"
"Silver","2004","9"
"Bronze","2004","9"
"Gold","2008","7"
"Silver","2008","5"
"Bronze","2008","4"
"Gold","2012","6"
"Silver","2012","6"
"Bronze","2012","8"
"Gold","2016","8"
"Silver","2016","7"
"Bronze","2016","4"
