"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","0"
"Silver","1900","0"
"Bronze","1900","0"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","0"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","0"
"Gold","1920","0"
"Silver","1920","0"
"Bronze","1920","0"
"Gold","1924","0"
"Silver","1924","1"
"Bronze","1924","1"
"Gold","1928","1"
"Silver","1928","1"
"Bronze","1928","3"
"Gold","1932","2"
"Silver","1932","1"
"Bronze","1932","4"
"Gold","1936","0"
"Silver","1936","3"
"Bronze","1936","3"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","1"
"Gold","1952","1"
"Silver","1952","2"
"Bronze","1952","1"
"Gold","1956","1"
"Silver","1956","4"
"Bronze","1956","4"
"Gold","1960","4"
"Silver","1960","6"
"Bronze","1960","11"
"Gold","1964","7"
"Silver","1964","6"
"Bronze","1964","10"
"Gold","1968","5"
"Silver","1968","2"
"Bronze","1968","11"
"Gold","1972","7"
"Silver","1972","5"
"Bronze","1972","9"
"Gold","1976","7"
"Silver","1976","6"
"Bronze","1976","13"
"Gold","1980","3"
"Silver","1980","14"
"Bronze","1980","15"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","0"
"Gold","1988","2"
"Silver","1988","5"
"Bronze","1988","9"
"Gold","1992","3"
"Silver","1992","6"
"Bronze","1992","10"
"Gold","1996","7"
"Silver","1996","5"
"Bronze","1996","5"
"Gold","2000","6"
"Silver","2000","5"
"Bronze","2000","3"
"Gold","2004","3"
"Silver","2004","2"
"Bronze","2004","5"
"Gold","2008","4"
"Silver","2008","5"
"Bronze","2008","2"
"Gold","2012","3"
"Silver","2012","1"
"Bronze","2012","7"
"Gold","2016","2"
"Silver","2016","3"
"Bronze","2016","6"
