"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","0"
"Silver","1900","0"
"Bronze","1900","0"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","0"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","0"
"Gold","1920","0"
"Silver","1920","0"
"Bronze","1920","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","1"
"Gold","1928","0"
"Silver","1928","0"
"Bronze","1928","0"
"Gold","1932","0"
"Silver","1932","0"
"Bronze","1932","0"
"Gold","1936","0"
"Silver","1936","1"
"Bronze","1936","0"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","0"
"Gold","1952","1"
"Silver","1952","1"
"Bronze","1952","2"
"Gold","1956","5"
"Silver","1956","3"
"Bronze","1956","5"
"Gold","1960","3"
"Silver","1960","1"
"Bronze","1960","6"
"Gold","1964","2"
"Silver","1964","4"
"Bronze","1964","6"
"Gold","1968","4"
"Silver","1968","6"
"Bronze","1968","5"
"Gold","1972","3"
"Silver","1972","6"
"Bronze","1972","7"
"Gold","1976","4"
"Silver","1976","9"
"Bronze","1976","14"
"Gold","1980","6"
"Silver","1980","6"
"Bronze","1980","13"
"Gold","1984","20"
"Silver","1984","16"
"Bronze","1984","17"
"Gold","1988","7"
"Silver","1988","11"
"Bronze","1988","6"
"Gold","1992","4"
"Silver","1992","6"
"Bronze","1992","8"
"Gold","1996","4"
"Silver","1996","7"
"Bronze","1996","9"
"Gold","2000","11"
"Silver","2000","6"
"Bronze","2000","9"
"Gold","2004","8"
"Silver","2004","5"
"Bronze","2004","6"
"Gold","2008","4"
"Silver","2008","1"
"Bronze","2008","4"
"Gold","2012","2"
"Silver","2012","5"
"Bronze","2012","2"
"Gold","2016","1"
"Silver","2016","1"
"Bronze","2016","2"
