"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","0"
"Silver","1900","0"
"Bronze","1900","1"
"Gold","1904","0"
"Silver","1904","0"
"Bronze","1904","0"
"Gold","1908","8"
"Silver","1908","6"
"Bronze","1908","11"
"Gold","1912","24"
"Silver","1912","24"
"Bronze","1912","17"
"Gold","1920","19"
"Silver","1920","20"
"Bronze","1920","25"
"Gold","1924","4"
"Silver","1924","13"
"Bronze","1924","12"
"Gold","1928","7"
"Silver","1928","6"
"Bronze","1928","12"
"Gold","1932","9"
"Silver","1932","5"
"Bronze","1932","9"
"Gold","1936","6"
"Silver","1936","5"
"Bronze","1936","9"
"Gold","1948","16"
"Silver","1948","11"
"Bronze","1948","17"
"Gold","1952","12"
"Silver","1952","13"
"Bronze","1952","10"
"Gold","1956","8"
"Silver","1956","5"
"Bronze","1956","6"
"Gold","1960","1"
"Silver","1960","2"
"Bronze","1960","3"
"Gold","1964","2"
"Silver","1964","2"
"Bronze","1964","4"
"Gold","1968","2"
"Silver","1968","1"
"Bronze","1968","1"
"Gold","1972","4"
"Silver","1972","6"
"Bronze","1972","6"
"Gold","1976","4"
"Silver","1976","1"
"Bronze","1976","0"
"Gold","1980","3"
"Silver","1980","3"
"Bronze","1980","6"
"Gold","1984","2"
"Silver","1984","11"
"Bronze","1984","6"
"Gold","1988","0"
"Silver","1988","4"
"Bronze","1988","7"
"Gold","1992","1"
"Silver","1992","7"
"Bronze","1992","4"
"Gold","1996","2"
"Silver","1996","4"
"Bronze","1996","2"
"Gold","2000","4"
"Silver","2000","5"
"Bronze","2000","3"
"Gold","2004","4"
"Silver","2004","2"
"Bronze","2004","1"
"Gold","2008","0"
"Silver","2008","4"
"Bronze","2008","1"
"Gold","2012","1"
"Silver","2012","4"
"Bronze","2012","3"
"Gold","2016","2"
"Silver","2016","6"
"Bronze","2016","3"
