"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","11"
"Silver","1896","7"
"Bronze","1896","2"
"Gold","1900","19"
"Silver","1900","14"
"Bronze","1900","14"
"Gold","1904","78"
"Silver","1904","82"
"Bronze","1904","79"
"Gold","1908","23"
"Silver","1908","12"
"Bronze","1908","12"
"Gold","1912","25"
"Silver","1912","19"
"Bronze","1912","19"
"Gold","1920","41"
"Silver","1920","27"
"Bronze","1920","27"
"Gold","1924","45"
"Silver","1924","27"
"Bronze","1924","27"
"Gold","1928","22"
"Silver","1928","18"
"Bronze","1928","16"
"Gold","1932","41"
"Silver","1932","32"
"Bronze","1932","30"
"Gold","1936","24"
"Silver","1936","20"
"Bronze","1936","12"
"Gold","1948","38"
"Silver","1948","27"
"Bronze","1948","19"
"Gold","1952","40"
"Silver","1952","19"
"Bronze","1952","17"
"Gold","1956","32"
"Silver","1956","25"
"Bronze","1956","17"
"Gold","1960","34"
"Silver","1960","21"
"Bronze","1960","16"
"Gold","1964","36"
"Silver","1964","26"
"Bronze","1964","28"
"Gold","1968","45"
"Silver","1968","28"
"Bronze","1968","34"
"Gold","1972","33"
"Silver","1972","31"
"Bronze","1972","30"
"Gold","1976","34"
"Silver","1976","35"
"Bronze","1976","25"
"Gold","1980","0"
"Silver","1980","0"
"Bronze","1980","0"
"Gold","1984","83"
"Silver","1984","61"
"Bronze","1984","30"
"Gold","1988","36"
"Silver","1988","31"
"Bronze","1988","27"
"Gold","1992","37"
"Silver","1992","34"
"Bronze","1992","37"
"Gold","1996","44"
"Silver","1996","32"
"Bronze","1996","25"
"Gold","2000","37"
"Silver","2000","24"
"Bronze","2000","32"
"Gold","2004","36"
"Silver","2004","39"
"Bronze","2004","26"
"Gold","2008","36"
"Silver","2008","39"
"Bronze","2008","37"
"Gold","2012","46"
"Silver","2012","28"
"Bronze","2012","29"
"Gold","2016","46"
"Silver","2016","37"
"Bronze","2016","38"
