"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","2"
"Silver","1924","1"
"Bronze","1924","0"
"Gold","1928","0"
"Silver","1928","3"
"Bronze","1928","1"
"Gold","1932","1"
"Silver","1932","1"
"Bronze","1932","0"
"Gold","1936","1"
"Silver","1936","1"
"Bronze","1936","2"
"Gold","1948","1"
"Silver","1948","3"
"Bronze","1948","4"
"Gold","1952","2"
"Silver","1952","4"
"Bronze","1952","2"
"Gold","1956","4"
"Silver","1956","3"
"Bronze","1956","4"
"Gold","1960","1"
"Silver","1960","2"
"Bronze","1960","3"
"Gold","1964","4"
"Silver","1964","5"
"Bronze","1964","3"
"Gold","1968","3"
"Silver","1968","4"
"Bronze","1968","4"
"Gold","1972","1"
"Silver","1972","2"
"Bronze","1972","2"
"Gold","1976","2"
"Silver","1976","2"
"Bronze","1976","2"
"Gold","1980","3"
"Silver","1980","2"
"Bronze","1980","2"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","1"
"Gold","1988","3"
"Silver","1988","5"
"Bronze","1988","2"
"Gold","1992","6"
"Silver","1992","7"
"Bronze","1992","8"
"Gold","1994","2"
"Silver","1994","3"
"Bronze","1994","4"
"Gold","1998","3"
"Silver","1998","5"
"Bronze","1998","9"
"Gold","2002","3"
"Silver","2002","4"
"Bronze","2002","10"
"Gold","2006","9"
"Silver","2006","7"
"Bronze","2006","7"
"Gold","2010","4"
"Silver","2010","6"
"Bronze","2010","6"
"Gold","2014","4"
"Silver","2014","8"
"Bronze","2014","5"
"Gold","2018","0"
"Silver","2018","0"
"Bronze","2018","0"
