"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","2"
"Silver","1924","0"
"Bronze","1924","1"
"Gold","1928","0"
"Silver","1928","0"
"Bronze","1928","1"
"Gold","1932","0"
"Silver","1932","1"
"Bronze","1932","0"
"Gold","1936","1"
"Silver","1936","2"
"Bronze","1936","0"
"Gold","1948","3"
"Silver","1948","4"
"Bronze","1948","3"
"Gold","1952","0"
"Silver","1952","0"
"Bronze","1952","2"
"Gold","1956","3"
"Silver","1956","2"
"Bronze","1956","1"
"Gold","1960","2"
"Silver","1960","0"
"Bronze","1960","0"
"Gold","1964","0"
"Silver","1964","0"
"Bronze","1964","0"
"Gold","1968","0"
"Silver","1968","2"
"Bronze","1968","4"
"Gold","1972","4"
"Silver","1972","3"
"Bronze","1972","3"
"Gold","1976","1"
"Silver","1976","3"
"Bronze","1976","1"
"Gold","1980","1"
"Silver","1980","1"
"Bronze","1980","3"
"Gold","1984","2"
"Silver","1984","2"
"Bronze","1984","1"
"Gold","1988","5"
"Silver","1988","5"
"Bronze","1988","5"
"Gold","1992","1"
"Silver","1992","0"
"Bronze","1992","2"
"Gold","1994","3"
"Silver","1994","4"
"Bronze","1994","2"
"Gold","1998","2"
"Silver","1998","2"
"Bronze","1998","3"
"Gold","2002","3"
"Silver","2002","2"
"Bronze","2002","6"
"Gold","2006","5"
"Silver","2006","4"
"Bronze","2006","5"
"Gold","2010","6"
"Silver","2010","0"
"Bronze","2010","3"
"Gold","2014","6"
"Silver","2014","3"
"Bronze","2014","2"
"Gold","2018","0"
"Silver","2018","0"
"Bronze","2018","0"
