"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","4"
"Silver","1924","4"
"Bronze","1924","3"
"Gold","1928","2"
"Silver","1928","1"
"Bronze","1928","1"
"Gold","1932","1"
"Silver","1932","1"
"Bronze","1932","1"
"Gold","1936","1"
"Silver","1936","2"
"Bronze","1936","3"
"Gold","1948","1"
"Silver","1948","3"
"Bronze","1948","2"
"Gold","1952","3"
"Silver","1952","4"
"Bronze","1952","2"
"Gold","1956","3"
"Silver","1956","3"
"Bronze","1956","1"
"Gold","1960","2"
"Silver","1960","3"
"Bronze","1960","3"
"Gold","1964","3"
"Silver","1964","4"
"Bronze","1964","3"
"Gold","1968","1"
"Silver","1968","2"
"Bronze","1968","2"
"Gold","1972","0"
"Silver","1972","4"
"Bronze","1972","1"
"Gold","1976","2"
"Silver","1976","4"
"Bronze","1976","1"
"Gold","1980","1"
"Silver","1980","5"
"Bronze","1980","3"
"Gold","1984","4"
"Silver","1984","3"
"Bronze","1984","6"
"Gold","1988","4"
"Silver","1988","1"
"Bronze","1988","2"
"Gold","1992","3"
"Silver","1992","1"
"Bronze","1992","3"
"Gold","1994","0"
"Silver","1994","1"
"Bronze","1994","5"
"Gold","1998","2"
"Silver","1998","4"
"Bronze","1998","6"
"Gold","2002","4"
"Silver","2002","2"
"Bronze","2002","1"
"Gold","2006","0"
"Silver","2006","6"
"Bronze","2006","3"
"Gold","2010","0"
"Silver","2010","1"
"Bronze","2010","4"
"Gold","2014","1"
"Silver","2014","3"
"Bronze","2014","1"
"Gold","2018","0"
"Silver","2018","0"
"Bronze","2018","0"
