"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1928","0"
"Silver","1928","0"
"Bronze","1928","0"
"Gold","1932","0"
"Silver","1932","0"
"Bronze","1932","0"
"Gold","1936","0"
"Silver","1936","0"
"Bronze","1936","0"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","0"
"Gold","1952","0"
"Silver","1952","3"
"Bronze","1952","0"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","0"
"Gold","1960","0"
"Silver","1960","1"
"Bronze","1960","1"
"Gold","1964","1"
"Silver","1964","1"
"Bronze","1964","0"
"Gold","1968","3"
"Silver","1968","3"
"Bronze","1968","3"
"Gold","1972","4"
"Silver","1972","3"
"Bronze","1972","2"
"Gold","1976","1"
"Silver","1976","2"
"Bronze","1976","3"
"Gold","1980","1"
"Silver","1980","2"
"Bronze","1980","1"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","0"
"Gold","1988","3"
"Silver","1988","2"
"Bronze","1988","2"
"Gold","1992","1"
"Silver","1992","1"
"Bronze","1992","2"
"Gold","1994","0"
"Silver","1994","1"
"Bronze","1994","3"
"Gold","1998","5"
"Silver","1998","4"
"Bronze","1998","2"
"Gold","2002","3"
"Silver","2002","5"
"Bronze","2002","0"
"Gold","2006","3"
"Silver","2006","2"
"Bronze","2006","4"
"Gold","2010","4"
"Silver","2010","1"
"Bronze","2010","3"
"Gold","2014","8"
"Silver","2014","7"
"Bronze","2014","9"
"Gold","2018","86"
"Silver","2018","86"
"Bronze","2018","86"
