"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","4"
"Silver","1924","7"
"Bronze","1924","6"
"Gold","1928","6"
"Silver","1928","4"
"Bronze","1928","5"
"Gold","1932","3"
"Silver","1932","4"
"Bronze","1932","3"
"Gold","1936","7"
"Silver","1936","5"
"Bronze","1936","3"
"Gold","1948","4"
"Silver","1948","3"
"Bronze","1948","3"
"Gold","1952","7"
"Silver","1952","3"
"Bronze","1952","6"
"Gold","1956","2"
"Silver","1956","1"
"Bronze","1956","1"
"Gold","1960","3"
"Silver","1960","3"
"Bronze","1960","0"
"Gold","1964","3"
"Silver","1964","6"
"Bronze","1964","6"
"Gold","1968","6"
"Silver","1968","6"
"Bronze","1968","2"
"Gold","1972","2"
"Silver","1972","5"
"Bronze","1972","5"
"Gold","1976","3"
"Silver","1976","3"
"Bronze","1976","1"
"Gold","1980","1"
"Silver","1980","3"
"Bronze","1980","6"
"Gold","1984","3"
"Silver","1984","2"
"Bronze","1984","4"
"Gold","1988","0"
"Silver","1988","3"
"Bronze","1988","2"
"Gold","1992","9"
"Silver","1992","6"
"Bronze","1992","5"
"Gold","1994","10"
"Silver","1994","11"
"Bronze","1994","5"
"Gold","1998","10"
"Silver","1998","10"
"Bronze","1998","5"
"Gold","2002","13"
"Silver","2002","5"
"Bronze","2002","7"
"Gold","2006","2"
"Silver","2006","8"
"Bronze","2006","9"
"Gold","2010","9"
"Silver","2010","8"
"Bronze","2010","6"
"Gold","2014","11"
"Silver","2014","5"
"Bronze","2014","10"
"Gold","2018","0"
"Silver","2018","0"
"Bronze","2018","0"
